Rank,Name,Hex,Num,Additional Points
1,MkLeo,3f297e74,222927,200
2,あcola,830dec1e,2691639,200
3,Sparg0,b5230de8,158026,200
4,Light,e2974569,158871,200
5,Shuton,993a6b60,226829,200
6,Tea,ab90c078,695882,150
7,ProtoBanham,849ebfbf,1041641,150
8,Tweek,0d650c15,15768,150
9,Glutonny,7611d833,6122,150
10,Onin,55206a63,1063610,150
11,Riddles,03d3a671,160464,100
12,SALTONE,86e42aaa,18802,100
13,Dabuz,b0203282,4702,100
14,Sonix,0301d9f0,258371,100
15,Yoshidora,9568f351,1151910,100
16,Maister,9fb774ae,135042,50
17,KEN,8881ab7d,212701,50
18,Zomba,880cbc79,370802,50
19,Kameme,7472527c,197485,50
20,ミーヤー,d8016ec8,1636582,50
21,Sisqui,e97f144e,539193,25
22,へろー,dba21096,1647076,25
23,Bloom4Eva,17afe34e,1198828,25
24,Kurama,d59004ad,175623,25
25,Asimo,ffa84c87,1569435,25
26,Gackt,e8f0cdcd,484575,25
27,Cosmos,f43bf52f,64466,25
28,zackray,181880b7,498962,25
29,Anathema,3351cf4f,71203,25
30,Jakal,8cacea70,231113,25